sample_id,gold_answer,clean_parsed_answer,hard_parsed_answer,clean_correct,hard_correct,clean_output_path_or_record_id,hard_output_path_or_record_id
mgsm_0001,3,3,6,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0001,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0001
mgsm_0003,540,540,180,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0003,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0003
mgsm_0014,60,60,10,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0014,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0014
mgsm_0019,6,6,1.5,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0019,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0019
mgsm_0028,25,25,35,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0028,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0028
mgsm_0035,9,9,36,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0035,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0035
mgsm_0039,18,18,72,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0039,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0039
mgsm_0044,20,20,-160,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0044,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0044
mgsm_0045,104,104,132,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0045,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0045
mgsm_0053,40,40,160,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0053,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0053
mgsm_0060,17,17,2,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0060,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0060
mgsm_0069,60,60,140,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0069,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0069
mgsm_0076,5,5,6,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0076,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0076
mgsm_0080,10,10,0,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0080,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0080
mgsm_0099,58,58,-20,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0099,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0099
mgsm_0108,50,50,49.5,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0108,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0108
mgsm_0112,24,24,3,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0112,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0112
mgsm_0117,360,360,180,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0117,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0117
mgsm_0127,120,120,58,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0127,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0127
mgsm_0133,13,13,37,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0133,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0133
mgsm_0139,70,70,58,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0139,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0139
mgsm_0141,400,400,2,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0141,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0141
mgsm_0144,20,20,5,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0144,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0144
mgsm_0176,100,100,180,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0176,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0176
mgsm_0185,30,30,60,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0185,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0185
mgsm_0189,34,34,6,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0189,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0189
mgsm_0191,5,5,35,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0191,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0191
mgsm_0207,2600,2600,5200,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0207,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0207
mgsm_0211,4,4,52,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0211,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0211
mgsm_0216,220,220,1544.96,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0216,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0216
mgsm_0217,15,15,11,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0217,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0217
mgsm_0219,54,54,197,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0219,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0219
mgsm_0225,9,9,6,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:mgsm_0225,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:mgsm_0225
redacted_sample_0227,9,9,5,True,False,data/raw_runs/main_chinese_mgsm/results_clean_no_patch.jsonl:redacted_sample_0227,data/raw_runs/main_chinese_mgsm/results_restoration_no_patch.jsonl:redacted_sample_0227
