sample_id,gold_answer,clean_answer,identity_answer,hard_answer,clean_correct,identity_correct,hard_correct,identity_eq_clean,identity_eq_hard,hard_eq_clean,clean_output_mode,identity_output_mode,hard_output_mode
mgsm_0000,18,18,18,18,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0001,3,3,3,6,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0002,70000,110000,110000,4,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0003,540,540,540,180,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0004,20,0,0,3,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0005,64,208,208,70,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0006,260,260,260,260,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0007,160,40,40,100,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0008,45,432,432,180,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0009,460,460,460,460,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0010,366,375,375,366,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0011,694,794,794,794,False,False,False,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0012,13,1,1,0,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0013,18,16,16,5,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0014,60,60,60,10,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0015,125,96,96,0,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0016,230,300,300,460,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0017,57500,57500,57500,57500,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0018,7,7,7,7,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0019,6,6,6,1.5,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0020,15,14.67,14.67,6.67,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0021,14,2,2,17,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0022,7,7,7,7,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0023,8,8,8,8,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0024,26,26,26,26,True,True,True,True,True,True,Mixed/Other,Mixed/Other,Chinese-like
mgsm_0025,2,2,2,2,True,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0026,243,243,243,243,True,True,True,True,True,True,English-like,English-like,Mixed/Other
mgsm_0027,16,240,240,16,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0028,25,25,25,35,True,True,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0029,104,94,94,99,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0030,109,10,10,9,False,False,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0031,80,3,3,80,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0032,35,35,35,35,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0033,70,70,70,70,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0034,23,23,23,23,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0035,9,9,9,36,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0036,75,75,75,75,False,True,True,True,True,True,Mixed/Other,Mixed/Other,English-like
mgsm_0037,2,23,23,40,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0038,10,1.67,1.67,2.5,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0039,18,18,18,72,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0040,8,12,12,3,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0041,200,0,0,1200,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0042,26,26,26,26,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0043,48,200,200,0,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0044,20,20,20,160,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0045,104,104,104,132,True,True,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0046,163,219,219,0,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0047,800,4,4,3,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0048,8,8,8,8,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0049,30,30,30,30,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0050,294,252,252,294,False,False,True,True,False,False,English-like,English-like,English-like
mgsm_0051,5,5,5,5,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0052,15,1,1,15,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0053,40,40,40,160,True,True,False,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0054,40,33,33,33,False,False,False,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0055,14,14,14,14,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0056,3,3,3,3,True,True,True,True,True,True,Chinese-like,Chinese-like,English-like
mgsm_0057,83,82,82,83,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0058,57,57,57,57,False,True,False,True,True,True,Mixed/Other,Mixed/Other,Mixed/Other
mgsm_0059,187,187,187,187,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0060,17,17,17,2,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0061,1430,1430,1430,1430,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0062,25000,1904761.9,1904761.9,20,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0063,1596,140,140,133,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0064,300,0.46,0.46,480,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
mgsm_0065,36,12,12,84,False,False,False,True,False,False,English-like,English-like,English-like
mgsm_0066,48,44,44,28,False,False,False,True,False,False,Chinese-like,Chinese-like,Mixed/Other
mgsm_0067,595,1225,1225,595,False,False,True,True,False,False,Mixed/Other,Mixed/Other,English-like
mgsm_0068,36,36,36,36,True,True,True,True,True,True,English-like,English-like,Chinese-like
mgsm_0069,60,60,60,140,True,True,False,True,False,False,English-like,English-like,English-like
mgsm_0070,7425,1,1,9675,False,False,False,True,False,False,Chinese-like,Chinese-like,Chinese-like
mgsm_0071,60,60,60,60,True,True,True,True,True,True,English-like,English-like,English-like
mgsm_0072,221,221,221,221,True,True,True,True,True,True,Chinese-like,Chinese-like,Chinese-like
mgsm_0073,255,1,1,260,False,False,False,True,False,False,Chinese-like,Chinese-like,English-like
