sample_id,answer_changed,transition_group,stable_correct,broken,repaired,stable_wrong,stable_wrong_same,stable_wrong_different,gold_answer,clean_answer,swap_answer,clean_rationale_chars,swap_rationale_chars,clean_final_marker,swap_final_marker,skip_reason,clean_model_clean_rationale_clean_score_norm,clean_model_clean_rationale_clean_score_raw,clean_model_clean_rationale_clean_tokens,clean_model_clean_rationale_swap_score_norm,clean_model_clean_rationale_swap_score_raw,clean_model_clean_rationale_swap_tokens,clean_model_clean_rationale_gold_score_norm,clean_model_clean_rationale_gold_score_raw,clean_model_clean_rationale_gold_tokens,clean_model_clean_rationale_clean_minus_swap_margin_norm,clean_model_clean_rationale_clean_minus_swap_margin_raw,clean_model_swap_rationale_clean_score_norm,clean_model_swap_rationale_clean_score_raw,clean_model_swap_rationale_clean_tokens,clean_model_swap_rationale_swap_score_norm,clean_model_swap_rationale_swap_score_raw,clean_model_swap_rationale_swap_tokens,clean_model_swap_rationale_gold_score_norm,clean_model_swap_rationale_gold_score_raw,clean_model_swap_rationale_gold_tokens,clean_model_swap_rationale_clean_minus_swap_margin_norm,clean_model_swap_rationale_clean_minus_swap_margin_raw,direct_swap_model_clean_rationale_clean_score_norm,direct_swap_model_clean_rationale_clean_score_raw,direct_swap_model_clean_rationale_clean_tokens,direct_swap_model_clean_rationale_swap_score_norm,direct_swap_model_clean_rationale_swap_score_raw,direct_swap_model_clean_rationale_swap_tokens,direct_swap_model_clean_rationale_gold_score_norm,direct_swap_model_clean_rationale_gold_score_raw,direct_swap_model_clean_rationale_gold_tokens,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,direct_swap_model_clean_rationale_clean_minus_swap_margin_raw,direct_swap_model_swap_rationale_clean_score_norm,direct_swap_model_swap_rationale_clean_score_raw,direct_swap_model_swap_rationale_clean_tokens,direct_swap_model_swap_rationale_swap_score_norm,direct_swap_model_swap_rationale_swap_score_raw,direct_swap_model_swap_rationale_swap_tokens,direct_swap_model_swap_rationale_gold_score_norm,direct_swap_model_swap_rationale_gold_score_raw,direct_swap_model_swap_rationale_gold_tokens,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,direct_swap_model_swap_rationale_clean_minus_swap_margin_raw,clean_model_rationale_effect_norm,direct_swap_model_rationale_effect_norm,model_effect_clean_rationale_norm,model_effect_swap_rationale_norm,clean_model_rationale_effect_raw,direct_swap_model_rationale_effect_raw,model_effect_clean_rationale_raw,model_effect_swap_rationale_raw
mgsm_0000,False,stable_correct,True,False,False,False,False,False,18,18,18,169,563,The answer is,Final Answer: The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0001,True,broken,False,True,False,False,False,False,3,3,6,208,705,答案是:,Final Answer: The answer is,,-0.0017017227364704013,-0.0034034454729408026,2,-5.775139331817627,-11.550278663635254,2,-0.0017017227364704013,-0.0034034454729408026,2,5.7734376090811566,11.546875218162313,-5.809548377990723,-11.619096755981445,2,-0.036110859364271164,-0.07222171872854233,2,-5.809548377990723,-11.619096755981445,2,-5.7734375186264515,-11.546875037252903,-0.010660967789590359,-0.021321935579180717,2,-4.737223148345947,-9.474446296691895,2,-0.010660967789590359,-0.021321935579180717,2,4.726562180556357,9.453124361112714,-5.198927402496338,-10.397854804992676,2,-0.058302141726017,-0.116604283452034,2,-5.198927402496338,-10.397854804992676,2,-5.140625260770321,-10.281250521540642,-11.546875127707608,-9.867187441326678,-1.0468754285247996,0.6328122578561306,-23.093750255415216,-19.734374882653356,-2.0937508570495993,1.2656245157122612
mgsm_0002,True,stable_wrong,False,False,False,True,False,True,70000,110000,4,244,696,最终答案:,none_found,,-0.06175202131271362,-0.43226414918899536,7,-5.8156657218933105,-11.631331443786621,2,-2.2289835611979165,-13.3739013671875,6,5.753913700580597,11.199067294597626,-1.1751139504568917,-8.225797653198242,7,-1.9174206256866455,-3.834841251373291,2,-1.5590308507283528,-9.354185104370117,6,0.7423066752297538,-4.390956401824951,-0.06108543276786804,-0.4275980293750763,7,-4.817535877227783,-9.635071754455566,2,-1.6737513542175293,-10.042508125305176,6,4.756450444459915,9.20747372508049,-1.1379083905901228,-7.965358734130859,7,-2.4070916175842285,-4.814183235168457,2,-1.5006437301635742,-9.003862380981445,6,1.2691832269941057,-3.1511754989624023,-5.011607025350843,-3.4872672174658095,-0.9974632561206818,0.5268765517643519,-15.590023696422577,-12.358649224042892,-1.9915935695171356,1.2397809028625488
mgsm_0003,True,broken,False,True,False,False,False,False,540,540,180,147,147,The answer is,Final answer: The answer is,,-0.0013040989870205522,-0.005216395948082209,4,-2.39917254447937,-9.59669017791748,4,-0.0013040989870205522,-0.005216395948082209,4,2.3978684454923496,9.591473781969398,-2.682818651199341,-10.731274604797363,4,-0.0017195376567542553,-0.006878150627017021,4,-2.682818651199341,-10.731274604797363,4,-2.6810991135425866,-10.724396454170346,-0.002098441356793046,-0.008393765427172184,4,-2.002078056335449,-8.008312225341797,4,-0.002098441356793046,-0.008393765427172184,4,1.9999796149786562,7.999918459914625,-2.1254780292510986,-8.501912117004395,4,-0.0023561043199151754,-0.009424417279660702,4,-2.1254780292510986,-8.501912117004395,4,-2.1231219249311835,-8.492487699724734,-5.078967559034936,-4.12310153990984,-0.3978888305136934,0.5579771886114031,-20.315870236139745,-16.49240615963936,-1.5915553220547736,2.2319087544456124
mgsm_0004,True,stable_wrong,False,False,False,True,False,True,20,0,3,338,1096,答案是:,none_found,,-0.05511173605918884,-0.11022347211837769,2,-3.3676116466522217,-6.735223293304443,2,-3.4416929880777993,-10.325078964233398,3,3.312499910593033,6.624999821186066,-3.2499077320098877,-6.499815464019775,2,-1.0077203512191772,-2.0154407024383545,2,-1.2506612141927083,-3.751983642578125,3,-2.2421873807907104,-4.484374761581421,-0.12015265226364136,-0.24030530452728271,2,-2.870152711868286,-5.740305423736572,2,-2.9960689544677734,-8.98820686340332,3,2.7500000596046448,5.5000001192092896,-2.7880775928497314,-5.576155185699463,2,-0.874015212059021,-1.748030424118042,2,-1.0343058904012044,-3.1029176712036133,3,-1.9140623807907104,-3.828124761581421,-5.554687291383743,-4.664062440395355,-0.5624998509883881,0.328125,-11.109374582767487,-9.32812488079071,-1.1249997019767761,0.65625
mgsm_0005,True,stable_wrong,False,False,False,True,False,True,64,208,70,174,837,The answer is,none_found,,-0.004824670031666756,-0.019298680126667023,4,-4.649171829223633,-13.947515487670898,3,-4.336563428243001,-13.009690284729004,3,4.644347159191966,13.928216807544231,-2.8809750080108643,-11.523900032043457,4,-2.5890884399414062,-7.767265319824219,3,-2.936798095703125,-8.810394287109375,3,-0.291886568069458,-3.7566347122192383,-0.0071016172878444195,-0.028406469151377678,4,-4.063943227132161,-12.191829681396484,3,-3.672677675882975,-11.018033027648926,3,4.056841609844317,12.163423212245107,-2.5082576274871826,-10.03303050994873,4,-1.8859810829162598,-5.657943248748779,3,-2.488117218017578,-7.464351654052734,3,-0.6222765445709229,-4.375087261199951,-4.936233727261424,-4.67911815441524,-0.5875055493476493,-0.33038997650146484,-17.68485151976347,-16.538510473445058,-1.7647935952991247,-0.6184525489807129
mgsm_0006,False,stable_correct,True,False,False,False,False,False,260,260,260,262,515,The answer is,Final Answer: The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0007,True,stable_wrong,False,False,False,True,False,True,160,40,100,287,861,The answer is,the answer is,,-0.004857757439215978,-0.014573272317647934,3,-2.388017177581787,-9.552068710327148,4,-2.098391056060791,-8.393564224243164,4,2.383159420142571,9.5374954380095,-3.2457052866617837,-9.737115859985352,3,-0.0062101855874061584,-0.024840742349624634,4,-2.992948532104492,-11.971794128417969,4,-3.2394951010743775,-9.712275117635727,-0.006854052344957988,-0.020562157034873962,3,-2.100808620452881,-8.403234481811523,4,-1.7307138442993164,-6.922855377197266,4,2.093954568107923,8.38267232477665,-3.0089403788248696,-9.02682113647461,3,-0.012347313575446606,-0.04938925430178642,4,-2.7316503524780273,-10.92660140991211,4,-2.996593065249423,-8.977431882172823,-5.6226545212169485,-5.090547633357346,-0.28920485203464796,0.2429020358249545,-19.249770555645227,-17.360104206949472,-1.154823113232851,0.734843235462904
mgsm_0008,True,stable_wrong,False,False,False,True,False,True,45,432,180,198,972,The answer is,none_found,,-0.0020113319624215364,-0.008045327849686146,4,-2.5088963508605957,-10.035585403442383,4,-3.9974565505981445,-11.992369651794434,3,2.506885018898174,10.027540075592697,-3.210023880004883,-12.840095520019531,4,-0.16055524349212646,-0.6422209739685059,4,-2.7227230072021484,-8.168169021606445,3,-3.0494686365127563,-12.197874546051025,-0.0037389539647847414,-0.014955815859138966,4,-2.1348531246185303,-8.539412498474121,4,-3.5908632278442383,-10.772589683532715,3,2.1311141706537455,8.524456682614982,-3.08162260055542,-12.32649040222168,4,-0.1032632440328598,-0.4130529761314392,4,-2.726027806599935,-8.178083419799805,3,-2.97835935652256,-11.91343742609024,-5.5563536554109305,-5.109473527176306,-0.37577084824442863,0.07110927999019623,-22.225414621643722,-20.437894108705223,-1.5030833929777145,0.2844371199607849
mgsm_0009,False,stable_correct,True,False,False,False,False,False,460,460,460,282,301,The answer is,none_found,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
